,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
1565,TorchBearer4AP,2022-09-21 16:38:04+00:00,0.0,,0.0,0.0,1.572626225763582e+18,https://twitter.com/TorchBearer4AP/status/1572626225763581953,,"['TDP', 'Janasena']",,janasena,47.0,"దుల్హాన్ తీసివేత. దేవాలయాల ఆక్రమణ.
చర్చ్ లో అసాంఘిక కార్య కలాపాలు రేప్ లు.
కల్తీ లిక్కర్ బ్రాండ్ లు. భూ కబ్జాలు.
శిరో మండనాలు. రిషికొండ సున్నాలు
మాలల ముర్డర్లు.బీసీ ల అరెస్టులు.
కోడి కత్తి డ్రామా లు. ప్రశాంత్ కిషోర్ జిమ్మిక్ లు
నవ రంధ్రాలు.
ఇదే నేటి ఆంధ్ర భారతం.
#TDP #Janasena"
1566,Interfail25,2022-09-21 16:37:18+00:00,1.0,,0.0,0.0,1.5726260323978076e+18,https://twitter.com/Interfail25/status/1572626032397807616,,,,janasena,612.0,@SingleBell6 @VinuthaKotaa @perni_nani @RojaSelvamaniRK @JanaSenaParty @PawanKalyan @mnadendla @NagaBabuOffl @Cbn_Kota 🤣🤣🤣🤣
1567,BalaNarige,2022-09-21 16:36:50+00:00,0.0,,0.0,0.0,1.572625914596565e+18,https://twitter.com/BalaNarige/status/1572625914596564992,,,,janasena,0.0,@JanaSenaParty @PawanKalyan Is not right
1568,NagarajMallela,2022-09-21 16:36:22+00:00,0.0,,0.0,0.0,1.5726257954741412e+18,https://twitter.com/NagarajMallela/status/1572625795474141186,,,,janasena,24.0,@JanaSenaParty @PawanKalyan Dr. వైఎస్ రాజ శేఖర్ రెడ్డి గారు..ఎంతో ఆలోచన తో.. ప్రతి పేదవాడికి వైద్యం అందాలి అని ప్రవేశ పెట్టిన ఆరోగ్య శ్రీ పథకం పేరు NTR ఆరోగ్య సేవా గా మర్చిన్నప్పుడు మాట్లాడానికి నీ నోటికి ఏ మడ్ద మొచ్ఛిందీ...
1569,Srishailam_Pspk,2022-09-21 16:35:06+00:00,24.0,,16.0,0.0,1.5726254758723666e+18,https://twitter.com/Srishailam_Pspk/status/1572625475872366595,,['Pawankalyan'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1572625419140206598/pu/img/3rTPJV-kXkeHYh6Y.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1572625419140206598/pu/pl/A8SfRsVj-n1rwBYS.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572625419140206598/pu/vid/384x480/rWnUAjphoeBPoj0o.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572625419140206598/pu/vid/320x400/bt5lD_iyb-Ar8m92.mp4?tag=12', bitrate=632000)], duration=30.015, views=187)]",janasena,2204.0,"దిని అమ్మ. జీవితం ...
@pawankalyan అన్న గెలుపు కోసం పోరాడుధం....
అలా అంటి నాయకుడు మళ్ళ రాడు...

#Pawankalyan @JanaSenaParty https://t.co/CAECYX0sbt"
1570,swaroop_karanam,2022-09-21 16:34:40+00:00,6.0,,2.0,0.0,1.5726253704569242e+18,https://twitter.com/swaroop_karanam/status/1572625370456924160,,,,janasena,714.0,@Ewjanasainyam @PawanKalyan @BattulaBalarama @mnadendla @NagaBabuOffl @JanaSenaParty మినీ గవర్నమెంట్ run అవుతుంది ఆంధ్ర లో
1571,PKPillaSainik,2022-09-21 16:34:33+00:00,2.0,,0.0,0.0,1.5726253413274747e+18,https://twitter.com/PKPillaSainik/status/1572625341327474689,,,,janasena,35.0,@JanaSenaParty @PawanKalyan Patni badalne se Kya milta hai tujhe?
1572,Sanjay56647810,2022-09-21 16:34:20+00:00,2.0,,0.0,0.0,1.572625285430014e+18,https://twitter.com/Sanjay56647810/status/1572625285430013954,,,,janasena,2051.0,@VinuthaKotaa @perni_nani @RojaSelvamaniRK @JanaSenaParty @PawanKalyan @mnadendla @NagaBabuOffl @Cbn_Kota iddharu pellalni vadukuni vadhilesina kojja gurinchi kuda cheppu
1573,JanaSenaParty,2022-09-21 16:33:02+00:00,1788.0,,529.0,25.0,1.572624956126802e+18,https://twitter.com/JanaSenaParty/status/1572624956126801925,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdMWDcMaUAA4s2u?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMWDcMaUAA4s2u?format=jpg&name=large')]",janasena,1802039.0,नाम बदलने से क्या मिलता है? - JanaSena Chief Shri @PawanKalyan https://t.co/ptvHap49DD
1574,ManojBhargavaN1,2022-09-21 16:32:55+00:00,0.0,,0.0,0.0,1.5726249294426644e+18,https://twitter.com/ManojBhargavaN1/status/1572624929442664448,,,,janasena,5.0,@SUBHASHINIjsp @YSRCParty @JanaSenaParty @PawanKalyan @JSPVeeraMahila Bhayyam lendi akka vallaku bayataku ravataniki
