,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,Tweet,coords
20,TheSrujanRaJ,2022-09-22 06:23:19+00:00,0.0,,0.0,0.0,1.5728339053504184e+18,https://twitter.com/TheSrujanRaJ/status/1572833905350418432,Ongole,,,keyword,"@sainatha_amar @JanaSenaParty @PawanKalyan టాలెంట్ ఉంటే చదువు అబ్బుతుంది లేకపోతే అబ్బద్దు కండిషన్స్ వేరు....
ఒక్కో యూనివర్సిటీ ఒక్కో కండిషన్ గతంలో ఉన్న యూనివర్సిటీలు వేరు ....
ఇప్పుడు ఉన్న యూనివర్సిటీ లో ఇండియాలోని టాప్ ర్యాంకర్స్ కూడా పోలేరు ...

కానీ కోట్లు కోట్లు డోనేషన్స్ కట్టి చేరుతారు ..","15.5075545,80.06080047"
21,NBaluTweets,2022-09-22 04:54:28+00:00,3.0,,1.0,0.0,1.5728115440939213e+18,https://twitter.com/NBaluTweets/status/1572811544093921280,Ongole,"['జనసేనపార్టీ', 'PawanKalyan', 'BattulaBalarama']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1572811507842301957/pu/img/gGkORjSOPUqoXJIq.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572811507842301957/pu/vid/636x360/WY_ebbZFBBwpMUiO.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572811507842301957/pu/vid/476x270/2v9sYzkA-aOJJpcM.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1572811507842301957/pu/pl/13VPtqYJJNuFJEGW.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572811507842301957/pu/vid/848x480/uU0zjzfBqLbDLXMB.mp4?tag=12', bitrate=2176000)], duration=19.3, views=23)]",keyword,#జనసేనపార్టీ అధ్యక్షులు  శ్రీ #PawanKalyan గారి సేవా స్ఫూర్తితో..... రాజానగరం నియోజకవర్గ జనసేన నాయకులు #BattulaBalarama గారి ఆధ్వర్యంలో  ప్రజలకు ఉచితంగా మూడు అంబులెన్స్  సేవలు అందించడానికి సర్వం సిద్ధం... 🙏🏻 @RayapatiAruna @pedapudi007 @PawanKalyan @JanaSenaParty https://t.co/E9ofS7TgHJ,"15.5075545,80.06080047"
22,NBaluTweets,2022-09-22 04:43:34+00:00,2.0,,0.0,0.0,1.5728088032588595e+18,https://twitter.com/NBaluTweets/status/1572808803258859521,Ongole,"['ChirenjeeviThirumalasetty', 'జనసేన_పార్టీ_సంతనూతలపాడు_నియోజకవర్గం']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1572808712502317056/pu/img/luhTb-86qb3Evik-.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1572808712502317056/pu/pl/S4cL72n-feZTm90I.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572808712502317056/pu/vid/352x640/si6TrHtz9xWXtQ2t.mp4?tag=12', bitrate=950000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1572808712502317056/pu/vid/320x580/A_IYe2Gsp2J9H-Dr.mp4?tag=12', bitrate=632000)], duration=56.607, views=10)]",keyword,"ప్రకాశం జిల్లా, మద్దిపాడు మండలం, పెదకొత్తపల్లి గ్రామ నివాసి, మద్దిపాడు మండల జనసేన పార్టీ ఉపాధ్యక్షుడు తిరుమలశెట్టి చిరంజీవి గారు. 
#ChirenjeeviThirumalasetty @PawanKalyan @JanaSenaParty @KandukuriBabu3 #జనసేన_పార్టీ_సంతనూతలపాడు_నియోజకవర్గం◆ https://t.co/jjdyOx71KK","15.5075545,80.06080047"
23,TheSrujanRaJ,2022-09-22 02:34:40+00:00,0.0,,0.0,1.0,1.5727763621461565e+18,https://twitter.com/TheSrujanRaJ/status/1572776362146156544,Ongole,,,keyword,@sainatha_amar @JanaSenaParty @PawanKalyan గతంలో ఎలా వాడుకున్నారు తమ్ముడు ఎలా విదేశాలు పోయారు ?,"15.5075545,80.06080047"
24,TheSrujanRaJ,2022-09-21 14:49:07+00:00,2.0,,1.0,2.0,1.5725988066588426e+18,https://twitter.com/TheSrujanRaJ/status/1572598806658842624,Ongole,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdL-R6IaIAIV_gf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdL-R6IaIAIV_gf?format=jpg&name=large')]",keyword,@JanaSenaParty @PawanKalyan https://t.co/R10GpCSglo,"15.5075545,80.06080047"
25,NEXTCMEVARU2024,2022-09-21 12:54:40+00:00,1.0,,0.0,0.0,1.5725700034169446e+18,https://twitter.com/NEXTCMEVARU2024/status/1572570003416944640,Ongole,,,keyword,@JanaSenaParty @PawanKalyan https://t.co/IYCcxRYWwF,"15.5075545,80.06080047"
26,NEXTCMEVARU2024,2022-09-21 12:54:19+00:00,1.0,,0.0,0.0,1.5725699170016952e+18,https://twitter.com/NEXTCMEVARU2024/status/1572569917001695232,Ongole,,,keyword,@JanaSenaParty @PawanKalyan https://t.co/UrjSKp6xly,"15.5075545,80.06080047"
27,jay4n,2022-09-21 08:48:30+00:00,0.0,,0.0,0.0,1.5725080536643215e+18,https://twitter.com/jay4n/status/1572508053664321538,Ongole,,,keyword,"@_PakkaTollywood @JanaSenaParty @PawanKalyan Maintain clarity , official proof ?","15.5075545,80.06080047"
28,NEXTCMEVARU2024,2022-09-21 07:48:44+00:00,5.0,,2.0,2.0,1.5724930120848876e+18,https://twitter.com/NEXTCMEVARU2024/status/1572493012084887553,Ongole,['janasena'],,keyword,"ఊర్లు మార్చడం ...పేర్లు మార్చడం తప్ప వీడు పీకేదేమీ లేదు నా 👶.వీడు మార్చిన పేర్లని రేపు మనం మార్చుకోలేమా ఏంటి!
#janasena","15.5075545,80.06080047"
29,NEXTCMEVARU2024,2022-09-21 07:31:15+00:00,8.0,,5.0,1.0,1.5724886118363628e+18,https://twitter.com/NEXTCMEVARU2024/status/1572488611836362752,Ongole,"['ntrhealthuniversity', 'YSRCP', 'YSJagan', 'janasena', 'TDP', 'NTRUHS']",,keyword,"డాక్టర్ ఎన్ టి ఆర్ హెల్త్ యూనివర్సిటీ పేరు తీసి డాక్టర్ వై ఎస్ ఆర్ హెల్త్ యూనివర్సిటీ పెట్టాలన్న ప్రభుత్వం నిర్ణయం పై మీ అభిప్రాయం ?#ntrhealthuniversity 
#YSRCP #YSJagan #janasena #TDP
#NTRUHS","15.5075545,80.06080047"
